arch,metal,diel,geom,T_vis,T_sol,g,LSG,eps_h,R_s,Ag,cooling,heating
2-metal,Cu,AZO,15/15/75/15/15,0.423,0.175,0.274,1.54,0.0204,1.05,0.0,39.0,13.8
2-metal,Cu,Si3N4,59/13/105/13/59,0.716,0.43,0.516,1.39,0.0244,1.33,0.0,68.9,67.3
2-metal,Ag,AZO,15/10/60/10/15,0.746,0.376,0.43,1.73,0.0329,2.13,0.21,20.6,15.0
2-metal,Ag,Si3N4,15/12/60/12/15,0.819,0.428,0.464,1.76,0.0248,1.67,0.252,21.9,17.5
