# STALE: scores predate the weighting correction of 2026-08-25. Physical
# columns are unaffected. Regenerate with:
#   pvdlowe series --dielectric Si3N4 --mixing ema -o out.csv
# (168 geometry-optimised points, about 13 minutes)
mixing_model,dielectric,Ag_fraction,metal_nm,bottom_nm,top_nm,T_vis,T_sol,emissivity_h,R_sheet,g_value,LSG,U_g,Ag_g_per_m2,cost_usd_per_m2,score,limiting,meets_spec,profile
solid_solution,Si3N4,0.95,9.0,15.0,26.0,0.9251,0.7179,0.0737,5.94,0.741,1.25,1.218,0.0911,0.742,68.3,supply_risk,False,heating
solid_solution,Si3N4,1.0,10.0,15.0,26.0,0.9263,0.6957,0.0568,4.44,0.717,1.29,1.164,0.1049,0.854,67.5,Ag_g_per_m2,True,heating
ema,AZO,0.0,14.0,48.0,48.0,0.726,0.4478,0.0412,2.28,0.523,1.39,1.113,0.0,0.01,68.2,T_vis,False,cooling
ema,AZO,0.05,14.0,48.0,48.0,0.7306,0.4508,0.0386,2.02,0.524,1.39,1.104,0.0104,0.094,68.1,T_vis,False,cooling
ema,AZO,0.1,14.0,48.0,48.0,0.7349,0.4535,0.0372,1.88,0.526,1.4,1.099,0.0204,0.175,67.8,T_vis,False,cooling
ema,AZO,0.15,14.0,48.0,48.0,0.7391,0.4561,0.0362,1.79,0.527,1.4,1.096,0.0299,0.252,67.4,T_vis,False,cooling
ema,AZO,0.2,14.0,48.0,48.0,0.7433,0.4585,0.0355,1.73,0.528,1.41,1.094,0.0391,0.326,66.9,T_vis,False,cooling
ema,AZO,0.25,14.0,48.0,48.0,0.7475,0.461,0.035,1.68,0.529,1.41,1.092,0.0479,0.397,66.4,T_vis,False,cooling
ema,AZO,0.3,14.0,48.0,48.0,0.7519,0.4635,0.0346,1.65,0.531,1.42,1.091,0.0563,0.465,65.8,T_vis,False,cooling
ema,AZO,0.35,13.0,59.0,48.0,0.7654,0.479,0.0373,1.78,0.545,1.4,1.1,0.0598,0.492,65.1,T_vis,False,cooling
ema,AZO,0.4,13.0,59.0,48.0,0.7696,0.4814,0.037,1.77,0.546,1.41,1.099,0.067,0.551,64.4,T_vis,False,cooling
ema,AZO,0.45,13.0,59.0,48.0,0.7739,0.4838,0.0369,1.76,0.547,1.41,1.099,0.074,0.607,63.6,T_vis,False,cooling
ema,AZO,0.5,13.0,59.0,48.0,0.7782,0.4862,0.0368,1.76,0.549,1.42,1.098,0.0807,0.661,62.7,Ag_g_per_m2,False,cooling
ema,AZO,0.55,13.0,48.0,37.0,0.782,0.4969,0.0337,1.78,0.552,1.42,1.088,0.0872,0.713,61.9,Ag_g_per_m2,False,cooling
ema,AZO,0.6,12.0,59.0,48.0,0.8025,0.5151,0.0402,1.97,0.574,1.4,1.11,0.0862,0.705,61.1,Ag_g_per_m2,True,cooling
ema,AZO,0.65,12.0,48.0,37.0,0.8078,0.5273,0.0373,2.01,0.579,1.4,1.1,0.0918,0.75,60.3,Ag_g_per_m2,True,cooling
ema,AZO,0.7,12.0,48.0,37.0,0.8137,0.5305,0.0376,2.05,0.58,1.4,1.101,0.0972,0.793,59.4,Ag_g_per_m2,True,cooling
ema,AZO,0.75,12.0,48.0,37.0,0.8196,0.5336,0.038,2.1,0.582,1.41,1.102,0.1023,0.835,58.5,Ag_g_per_m2,True,cooling
ema,AZO,0.8,11.0,48.0,37.0,0.8376,0.5613,0.043,2.44,0.608,1.38,1.119,0.0984,0.803,57.6,Ag_g_per_m2,True,cooling
ema,AZO,0.85,11.0,48.0,37.0,0.8434,0.5643,0.0441,2.57,0.61,1.38,1.123,0.1029,0.839,56.7,Ag_g_per_m2,True,cooling
