metal_nm,T_vis,T_vis_glazed,T_sol,R_sheet,emissivity_normal,emissivity_hemispherical,U_g,Ag_g_per_m2,continuous,selectivity
6.0,0.7138487438597874,0.6867274044499987,0.7005845554926471,71.33153227955158,0.38578471009629633,0.3987369733819421,2.0198889570029457,0.06294,False,1.0189330299435633
6.5,0.7071781451945213,0.6801875750404954,0.6891752891366122,71.33153227955158,0.38156098509809433,0.39486869859078133,2.0124174759534097,0.06818500000000001,False,1.0261223179961412
7.0,0.7006657004535239,0.6738042119138324,0.6777382381048688,71.33153227955158,0.37724982420343006,0.390912396685584,2.00473553772747,0.07343000000000001,False,1.0338293769771147
7.5,0.744831384288794,0.7143850066768641,0.5835274540386489,71.33153227955158,0.33214460679430297,0.34900899928863655,1.9207749032937362,0.078675,False,1.276429033687696
8.0,0.7992621397157756,0.7661492435033673,0.6035998437550972,29.888893189150735,0.2598780629830368,0.2796751949980547,1.7705521245548146,0.08392000000000001,False,1.3241589572711452
8.5,0.8517364168020448,0.8161492034032389,0.6336472971888499,14.964808991942702,0.15050359706872293,0.16848862191801872,1.4950323525616367,0.08916500000000001,False,1.3441806200085413
9.0,0.8693450025756374,0.8328250094269614,0.6328803128660746,8.920660246207683,0.09788373249530011,0.11182535817354639,1.3349749061120093,0.09441,False,1.373632557218764
9.5,0.8756763517800947,0.8387896654715101,0.6217917410749353,5.900518470495115,0.06924887467837317,0.08001568401116603,1.2383144873037966,0.09965500000000001,False,1.4083113266609995
10.0,0.8755504466911622,0.8386807967999917,0.6057510498126569,4.175690563851792,0.051824459127353124,0.06030383943604356,1.1757279094415065,0.10490000000000001,True,1.4453964990435382
10.5,0.8716114160451134,0.8349571545620798,0.5934892710221662,3.882042141396727,0.04858448515565134,0.05660806076604454,1.163753522203167,0.11014499999999999,True,1.46862202671994
11.0,0.8669323110557614,0.8305521535249212,0.5813033107378459,3.62161752088326,0.0456759036967801,0.053282053253704234,1.1529108864846815,0.11539,True,1.491359665499527
11.5,0.8615352879300983,0.8254856155285513,0.5692085735178434,3.3894570179995673,0.04305467456851358,0.05027792596020804,1.1430630941248932,0.120635,True,1.5135669559676637
12.0,0.8554449239134155,0.8197794912696668,0.5572181357454509,3.181500026131007,0.04068382392485975,0.04755524827847429,1.1340928990319623,0.12588,True,1.5352065358910016
12.5,0.8486879598442442,0.8134576414689383,0.5453430825316062,2.9943961681444633,0.038532138776955716,0.045079717907679985,1.1258995375402814,0.131125,True,1.5562459432041242
13.0,0.8412930347295534,0.8065456112469881,0.533592794617822,2.825361036096708,0.03657313072182941,0.042822092786553585,1.1183961048196787,0.13637000000000002,True,1.5766574121978485
13.5,0.8332904165258146,0.7990704010872828,0.5219751928249303,2.672064935186717,0.0347842082989042,0.04075733033156773,1.111507386357062,0.14161500000000002,True,1.5964176611843293
14.0,0.8247117330497311,0.7910602375673049,0.5104969464311532,2.5325463071681025,0.033146012000861584,0.03886389021770159,1.105168061484124,0.14686000000000002,True,1.6155076711334524
14.5,0.8155897066091514,0.7825443467852912,0.4991636508785456,2.4051437860925864,0.03164187685378732,0.03712316678176182,1.0993212111354513,0.152105,True,1.6339124557120392
15.0,0.8059578954992115,0.7735527330555917,0.48797997933867177,2.288442457871368,0.03025739571738433,0.035519024746944586,1.0939170749681402,0.15735,True,1.6516208238532142
15.5,0.7958504452784001,0.7641159653023046,0.4769498120923442,2.181231014290588,0.028980062324371843,0.03403741742110149,1.0889120122763778,0.162595,True,1.6686251364416351
16.0,0.785301851913876,0.7542649728661244,0.4660763468404273,2.0824673825098183,0.027798978269574386,0.03266607158656015,1.0842676316828732,0.16784000000000002,True,1.6849210590443102
16.5,0.7743467389282254,0.7440308525574215,0.45536219287931284,1.991250938727285,0.02670461101418095,0.031394225932680354,1.0799500587575745,0.17308500000000004,True,1.7005073127216224
17.0,0.7630196498656885,0.733444688078374,0.44480945140948613,1.9067999197159922,0.025688593220780646,0.03021241316392793,1.075929318343142,0.17833000000000002,True,1.7153854250350942
17.5,0.7513548571830136,0.7225373827989735,0.434419784019775,1.828432944560444,0.02474355554419134,0.02911227766350294,1.072178811748679,0.18357500000000002,True,1.7295594832964873
18.0,0.7393861882386765,0.7113395065164633,0.42419447105876706,1.7555538137427156,0.0238629866915341,0.028086422294631156,1.0686748728611277,0.18882,True,1.7430358919888973
18.5,0.7271468687199698,0.6998811565581069,0.4141344613596099,1.68763893708583,0.023041115808183396,0.027128279175814462,1.0653963900811112,0.19406500000000002,True,1.7558231361204166
19.0,0.7146693835449085,0.6881918333398331,0.40424041457295695,1.6242268828696167,0.022272813226025333,0.02623200026421395,1.0623244833319427,0.19931000000000001,True,1.7679315520688137
19.5,0.7019853550134165,0.6763003302763885,0.39451273718338187,1.5649096481159628,0.021553506380662255,0.025392364371745156,1.0594422272886062,0.20455500000000004,True,1.779373107254359
20.0,0.6891254377600801,0.6642346377526834,0.3849516131319672,1.5093253329554284,0.0208791083126837,0.02460469786727706,1.0567344135152845,0.20980000000000001,True,1.7901611897488985
