mixing,dielectric,ag_frac,t_m,bot,top,T_vis,eps_h,R_s,g,LSG,Ag,heating,cooling
solid_solution,AZO,0.55,9.0,59.0,48.0,0.827,0.092,7.2,0.639,1.29,0.0604,65.8,54.5
solid_solution,AZO,0.6,9.0,59.0,48.0,0.8311,0.0915,7.15,0.641,1.3,0.0647,65.5,54.1
solid_solution,AZO,0.65,9.0,59.0,48.0,0.8353,0.0906,7.05,0.642,1.3,0.0688,65.2,53.8
solid_solution,AZO,0.7,9.0,59.0,48.0,0.8397,0.0893,6.9,0.644,1.3,0.0729,65.0,53.5
solid_solution,AZO,0.75,9.0,26.0,37.0,0.8508,0.09,7.12,0.662,1.29,0.0768,64.9,51.7
solid_solution,AZO,0.8,9.0,26.0,37.0,0.8573,0.0873,6.82,0.664,1.29,0.0805,65.1,51.6
solid_solution,AZO,0.85,9.0,26.0,37.0,0.864,0.084,6.47,0.667,1.3,0.0842,65.4,51.5
solid_solution,AZO,0.9,9.0,26.0,37.0,0.8711,0.0801,6.04,0.669,1.3,0.0877,65.8,51.5
solid_solution,AZO,0.95,9.0,15.0,37.0,0.8801,0.076,5.6,0.671,1.31,0.0911,66.3,51.7
solid_solution,AZO,1.0,10.0,26.0,37.0,0.8801,0.0609,4.2,0.65,1.35,0.1049,65.2,52.8
solid_solution,Si3N4,0.0,11.0,59.0,48.0,0.8593,0.0478,3.41,0.729,1.18,0.0,88.9,55.9
solid_solution,Si3N4,0.05,11.0,59.0,48.0,0.8622,0.054,3.99,0.729,1.18,0.0082,86.8,54.9
solid_solution,Si3N4,0.1,11.0,59.0,48.0,0.8653,0.0594,4.5,0.73,1.19,0.016,84.8,53.9
solid_solution,Si3N4,0.15,11.0,59.0,48.0,0.8686,0.064,4.95,0.731,1.19,0.0235,83.0,53.0
solid_solution,Si3N4,0.2,11.0,59.0,48.0,0.872,0.068,5.34,0.732,1.19,0.0307,81.4,52.1
solid_solution,Si3N4,0.25,11.0,59.0,48.0,0.8756,0.0713,5.67,0.733,1.19,0.0376,79.8,51.3
solid_solution,Si3N4,0.3,11.0,59.0,48.0,0.8793,0.074,5.94,0.735,1.2,0.0442,78.5,50.5
solid_solution,Si3N4,0.35,11.0,59.0,48.0,0.8832,0.0761,6.16,0.736,1.2,0.0506,77.2,49.7
solid_solution,Si3N4,0.4,11.0,59.0,48.0,0.8872,0.0777,6.32,0.738,1.2,0.0567,76.1,49.0
solid_solution,Si3N4,0.45,11.0,59.0,48.0,0.8914,0.0786,6.43,0.74,1.21,0.0626,75.1,48.3
solid_solution,Si3N4,0.5,11.0,59.0,48.0,0.8957,0.079,6.48,0.742,1.21,0.0683,74.1,47.5
solid_solution,Si3N4,0.55,11.0,59.0,48.0,0.9002,0.0789,6.47,0.744,1.21,0.0738,73.2,46.8
solid_solution,Si3N4,0.6,11.0,59.0,48.0,0.9049,0.0781,6.41,0.746,1.21,0.079,72.0,46.1
solid_solution,Si3N4,0.65,11.0,48.0,48.0,0.904,0.0768,6.3,0.751,1.2,0.0841,71.0,44.6
solid_solution,Si3N4,0.7,11.0,48.0,48.0,0.9094,0.0749,6.12,0.753,1.21,0.0891,70.0,43.8
solid_solution,Si3N4,0.75,10.0,37.0,37.0,0.9044,0.0815,6.73,0.757,1.2,0.0853,69.2,42.6
solid_solution,Si3N4,0.8,10.0,26.0,37.0,0.9054,0.0781,6.42,0.748,1.21,0.0895,68.7,43.9
solid_solution,Si3N4,0.85,10.0,15.0,37.0,0.9052,0.0741,6.03,0.734,1.23,0.0935,68.3,45.7
solid_solution,Si3N4,0.9,9.0,15.0,26.0,0.9162,0.0798,6.53,0.737,1.24,0.0877,68.2,45.9
solid_solution,Si3N4,0.95,9.0,15.0,26.0,0.9251,0.0737,5.94,0.741,1.25,0.0911,68.3,45.5
solid_solution,Si3N4,1.0,10.0,15.0,26.0,0.9263,0.0568,4.44,0.717,1.29,0.1049,67.5,48.2
